0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 58; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 59; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 60; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 61; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 62; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 63; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 64; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 65; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 66; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 67; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 68; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 69; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 70; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 71; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 72; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 73; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 74; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 75; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

LoopID : 0; InstanceID : 76; LoopCount : 5000; NbInsns : 6

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402d70; MOVSD -0x8(%RDI,%R11,2),%XMM1                     ;	load;	l;	0x402d70;	115;	0;	4885;	819;	0;	4066;	4066;	0;	0
0x402d7a; MOVSD -0x8(%R15,%R11,2),%XMM3                     ;	load;	l;	0x402d7a;	103;	0;	4897;	896;	0;	4001;	4001;	0;	0
0x402d89; MOVSD -0x8(%R9,%R11,2),%XMM2                      ;	load;	l;	0x402d89;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d90; MOVSD -0x8(%RBP,%R11,2),%XMM4                     ;	load;	l;	0x402d90;	115;	0;	4885;	896;	0;	3989;	3989;	0;	0
0x402d9f; MOVSD %XMM2,-0x8(%R9,%R11,2)                      ;	store;	f;	0x402d89;	5000;	0;	0;	0;	0;	0;	0;	0;	0
0x402da6; MOVSD %XMM4,-0x8(%RBP,%R11,2)                     ;	store;	f;	0x402d90;	5000;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	10448.000;	0.000;	19552.000;	3507.000;	0.000;	16045.000;	16045.000;	0.000;	0.000
Sum(Column) / LoopCount:	1741.333;	0.000;	3258.667;	584.500;	0.000;	2674.167;	2674.167;	0.000;	0.000

